Wardname,Children,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking
Sutton - Belmont,17.79458599,16.4,22.2,22.1,4.8
Havering - Elm Park,17.92074442,19.4,13.7,10.9,2.1
Bromley - Orpington,19.16269349,21.2,12.6,11.9,2.3
Haringey - White Hart Lane,27.40674559,8.4,52.5,44.6,19.2
Brent - Kensal Green,19.5507878,9,52.3,50.2,21.9
Croydon - Coulsdon East,19.18490689,19.6,15.4,11.8,1.5
Croydon - Kenley,20.76039022,14.9,23.2,17.9,3
Southwark - Village,23.73810676,10.9,20.1,22,3.5
Lewisham - Blackheath,18.38450032,10.9,30.2,29.3,7.4
Camden - Gospel Oak,19.60227273,12.2,30.1,34.9,10.4
Hillingdon - Northwood Hills,18.86336155,17.5,33.3,27.9,7.1
Richmond upon Thames - Hampton North,19.25002663,15.7,16.3,20.1,5.4
Enfield - Cockfosters,17.2251233,19,26.3,30.5,9.5
Wandsworth - Wandsworth Common,18.69220174,8.1,17.8,25.7,4.5
Harrow - Headstone North,18.18091747,16.4,52.6,37,9.1
Croydon - Purley,19.46327103,15,31.6,23.1,5
Tower Hamlets - East India & Lansbury,27.76768289,7,63.7,39.5,18.6
Kensington & Chelsea - Queen's Gate,14.36985884,9.4,28.7,63.2,24.9
Southwark - The Lane,19.83938323,9.1,50.7,37.7,8.5
Bromley - Mottingham & Chislehurst North,22.40913187,14,18.4,15.1,3.6
Hammersmith & Fulham - Parsons Green & Walham,18.04309627,10.2,17.8,38.2,10.8
Barnet - Hale,23.10603888,13.4,40.6,35.7,11.7
Southwark - East Dulwich,17.52292833,8.7,28.2,25.9,5.6
Brent - Sudbury,20.66220736,10.5,77.3,62.2,28.4
Enfield - Southgate Green,18.11126423,15.3,33.2,36.2,14
Redbridge - Seven Kings,24.21524664,9.2,76.7,47.6,19.3
Camden - Haverstock,19.49207376,11.1,37.1,36.3,10.7
Westminster - Maida Vale,17.88442703,9.2,37.6,49,15.2
Redbridge - Cranbrook,20.52425665,12.9,75.4,44.5,15.1
Havering - Brooklands,21.0670589,13.5,22.3,17.4,4.4
Bexley - Belvedere,22.3549201,12.7,28.4,20.4,5.1
Hillingdon - South Ruislip,20.19572954,12.6,27,23.2,7.7
Enfield - Turkey Street,25.51297211,11.5,37.9,31,14.1
Waltham Forest - Chingford Green,17.66306989,21.8,14.7,13.1,3
Ealing - Northfield,18.82814234,11,23.2,36.2,11.1
Richmond upon Thames - Hampton Wick,20.43831328,13.3,11.4,20.3,4.5
Greenwich - Kidbrooke with Hornfair,20.32167832,11.9,33.6,27.3,7.6
Hammersmith & Fulham - Shepherd's Bush Green,14.7926078,7.6,40.1,47.2,16.4
Wandsworth - Queenstown,14.18774111,7.8,35.7,42.4,15.4
Brent - Welsh Harp,21.34806951,11.4,61.3,55,22.9
Islington - Junction,15.39293139,10.7,30.6,34.7,11.5
Hillingdon - Yiewsley,22.34378612,9.3,33.8,27.7,10
Harrow - West Harrow,20.30270896,13,55.8,42.9,14.4
Bromley - Farnborough & Crofton,18.63039913,23,9.5,10,1.4
Lewisham - Downham,24.70652845,12.7,41.7,24.8,6.2
Westminster - Vincent Square,14.48738486,12.6,29.3,44.6,17
Kensington & Chelsea - Saint Charles,19.05169646,11.2,37.6,37.8,13.5
Kensington & Chelsea - Notting Barns,20.17405893,11.4,42.7,41.6,14.6
Tower Hamlets - Mile End East,23.89546203,5.7,66,43.5,20
Bexley - Colyers,22.18727534,14.5,17.7,12.3,2
Harrow - Hatch End,18.68512111,19.8,43.3,33,9.1
Richmond upon Thames - Kew,20.15564883,13.9,15.3,30.2,7.6
Hammersmith & Fulham - Addison,14.55981941,7.2,27.9,44.1,15.8
Havering - Havering Park,21.26923077,15.9,12,9.1,1.5
Enfield - Southbury,24.98276575,9.5,36.2,30.2,12
Barnet - Totteridge,20.10686721,16.8,34.3,37.6,13.7
Southwark - Cathedrals,10.68870892,7.4,38.4,40,10.4
Bexley - East Wickham,18.91692761,18,16.9,13.4,3.2
Waltham Forest - Valley,21.14645229,13.4,38.4,25.6,7.9
Kingston upon Thames - Beverley,20.66475418,12.9,32.6,32.4,13.3
Hackney - Haggerston,15.98820483,5.7,45.6,45.9,17.4
Waltham Forest - Grove Green,19.04272802,7.1,53.2,53,21.2
Southwark - Newington,17.28211658,8.5,48.2,42.5,13.6
Bexley - Blendon & Penhill,19.53253896,17.9,9.5,7.8,1.7
Bexley - Christchurch,18.10305518,18.3,13.4,11.5,2.3
Greenwich - Eltham South,16.25867156,15.7,16.8,17.5,4.6
Southwark - Grange,14.10623617,6.5,39.1,38.3,10.8
Hounslow - Chiswick Riverside,18.75595599,11.8,19.1,30.3,8.9
Sutton - Carshalton Central,19.06564399,13.7,13.7,15,3.7
Richmond upon Thames - Whitton,19.33962264,16.3,21.5,23.3,6.7
Ealing - Southfield,17.30740686,10,20.8,36.2,10.7
Brent - Kilburn,18.60027076,8.6,50,48.1,18.4
Hammersmith & Fulham - Avonmore & Brook Green,12.35265226,10.2,35.5,52.2,20.4
Barnet - Childs Hill,19.17302609,12.4,38.9,51.2,23
Haringey - Bruce Grove,22.46081613,8.4,55.9,55.5,23.5
Merton - Lower Morden,19.18591859,15.2,21.9,22.1,5.9
Barnet - Coppetts,19.71014493,10.3,35,36.1,13.6
Barking & Dagenham - Heath,26.27480067,12.7,32.3,24.1,6.2
Barnet - Colindale,22.23067025,8.4,59.9,52.7,23.2
Enfield - Southgate,18.83907569,14.1,31.6,33.2,11.7
Havering - Hacton,16.58783233,19.7,7.3,7.3,1.7
Wandsworth - Thamesfield,15.17315726,8.8,12.3,31.4,5.8
Westminster - Westbourne,21.81989184,9.5,52.8,51.5,24.1
Ealing - Southall Green,22.3266342,8.2,91.4,63.3,36.7
Camden - Bloomsbury,7.133676093,10,40.4,51.2,19.5
Richmond upon Thames - Teddington,18.93514037,13.6,8.9,17.8,4.1
Kingston upon Thames - Old Malden,19.87063938,15.7,30.8,27.3,8.4
Sutton - Beddington North,20.69065865,13.3,23.5,16.6,3.8
Barnet - West Hendon,19.80806804,11.4,50.6,53.6,24.7
Enfield - Winchmore Hill,18.42124897,14.9,23.8,27,8.1
Lewisham - Brockley,15.24830963,6.5,43.1,36.8,10.5
Greenwich - Glyndon,22.86060206,7.1,55,42.2,13.8
Lambeth - Streatham Wells,19.32778747,8.3,43.1,41.2,14.2
Hammersmith & Fulham - North End,12.5722668,6.6,34.2,47.9,19.4
Lewisham - Bellingham,25.15736041,10.2,51.3,29.6,6.2
Croydon - Coulsdon West,20.10558406,15.3,25.2,16.9,2.4
Richmond upon Thames - Barnes,20.40003884,14.7,14.3,32.2,8.3
Islington - Holloway,15.57765468,8.2,36.1,39.6,14.9
Camden - Fortune Green,15.04258944,9.7,29,43.4,16.1
Waltham Forest - Forest,19.35918788,9.3,58.7,45.7,18.4
Merton - West Barnes,20.44210099,13.4,30,33.7,9.3
Richmond upon Thames - Saint Margarets & North Twickenham,21.84031507,9.5,12.3,23.3,4.8
Hounslow - Syon,19.13826177,9.5,34.2,36.7,13.5
Havering - Pettits,17.02045542,20.8,8.7,7.4,1.7
Barking & Dagenham - Gascoigne,31.49694828,6.1,60.4,48.2,18.7
Newham - Boleyn,24.94055813,7.5,78.1,54.8,26.4
Lambeth - Brixton Hill,15.70508774,7,41.5,37.4,11.1
Merton - Pollards Hill,24.11781861,10.5,56.4,35.9,9.4
Tower Hamlets - Millwall,15.56056143,3.5,47.6,52.1,23.4
Lewisham - New Cross,20.1891343,5.9,59.7,46.6,15.3
Croydon - Bensham Manor,23.06030492,9.8,73.5,45.3,12.9
Croydon - Heathfield,19.04942102,15.9,24.6,16.9,2.8
Croydon - Waddon,22.27557534,11,44.6,30.1,8.9
Richmond upon Thames - South Twickenham,18.47401622,10.3,9.7,18.8,4
Bromley - Clock House,19.78791774,11.5,20.6,17.3,3.9
Bromley - Bickley,19.22108889,19.8,14.5,15.7,2.7
Waltham Forest - Leyton,24.28087986,7.4,63.5,48.8,20.8
Islington - Saint Peter's,14.81982744,9.8,25.6,32,9.5
"Richmond upon Thames - Ham, Petersham & Richmond Riverside",19.12377629,16.7,15.9,30.5,7.6
Richmond upon Thames - Mortlake & Barnes Common,19.79118967,12,11.7,25.6,5.2
Ealing - Acton Central,19.66033577,9.6,40,48.3,21
Bromley - Bromley Common & Keston,20.74373056,16.6,12.8,12.1,1.9
Southwark - East Walworth,18.49961063,8.3,51.8,43.8,13.7
Haringey - Northumberl& Park,27.04276111,7.9,60.9,53.5,25.5
Havering - Rainham & Wennington,18.99535331,17.5,15.7,10.9,2.4
Southwark - College,20.40298002,11.7,36.6,30.7,5.3
Camden - Kentish Town,15.80084967,9.6,28.4,34.2,10.4
Newham - Green Street East,22.2599937,5.7,89.9,62.2,33.2
Hackney - Clissold,18.71110383,6.6,34.7,32,10.6
Islington - Highbury East,17.019082,9.7,23.5,30.9,9.3
Newham - Little Ilford,27.78211988,6.7,82,54.5,27.3
Westminster - Bryanston & Dorset Square,10.63297473,10.6,37.2,61.3,28.8
Hillingdon - Manor,20.24121657,15.7,16,16.2,3.6
Wandsworth - West Putney,17.79948447,13.3,22.9,34.4,9.5
Brent - Queens Park,17.98311629,8.6,37,41.9,14.4
Hounslow - Turnham Green,14.98078267,12.9,23.2,39.9,12.8
Lewisham - Forest Hill,21.11889053,10,38.2,31.1,8.2
Newham - East Ham North,21.87364777,7.9,90.8,60.2,31.5
Islington - Saint Mary's,13.66744569,9.6,25.3,33.1,10
Hillingdon - Barnhill,24.32151089,9.6,68.4,45.4,19
Croydon - Fieldway,31.10898162,10.1,34.4,19.3,4.1
Westminster - Little Venice,17.20116618,9.8,35.6,52.6,19.9
Haringey - Tottenham Green,20.41838134,8.2,52.8,55,25.8
Havering - Saint Andrew's,16.40167992,20.9,7.2,7.7,1.6
Merton - Merton Park,19.50448076,14.6,29.2,35.5,10.1
Lewisham - Telegraph Hill,19.53210674,7,49.4,36.9,10.9
Croydon - Addiscombe,18.68151395,9.7,43.6,34.5,10.2
Kensington & Chelsea - Holland,18.21439541,11,32,56.7,20.9
Hillingdon - Uxbridge South,13.26275127,9.6,37.9,30.9,10
Waltham Forest - Hoe Street,21.07533065,8.8,49.9,42.8,17.2
Havering - Squirrel's Heath,17.76565105,16.3,11.5,9.4,1.3
Croydon - Woodside,24.3863107,7.9,55.1,28.4,6.3
Kingston upon Thames - Grove,12.86170698,9.4,23.2,31.4,11.2
Bromley - Petts Wood & Knoll,18.34297854,20.9,9.2,10.6,1.8
Kingston upon Thames - Saint James,19.34440852,17.7,41.4,37.3,12.7
Havering - Heaton,21.92521877,16.8,16.3,13,2.5
Newham - Stratford & New Town,15.45475011,5.6,59.2,54.9,23.5
Croydon - Selsdon & Ballards,16.06792388,18.9,19.7,15.7,2.2
Westminster - Bayswater,11.74757282,9.7,31.1,56.1,23.9
Enfield - Palmers Green,18.84316053,13.3,35.4,41.4,18.1
Westminster - Harrow Road,18.89646003,8.5,49,48.2,17.9
Southwark - Nunhead,19.61820852,8.9,55.5,39,9.1
Ealing - Elthorne,19.69874132,9.7,34.9,40.6,16.9
Haringey - Alexandra,21.61085206,9.9,20.5,26.8,8.5
Enfield - Bowes,17.24432425,10.6,38.6,47.5,23.3
Lambeth - Thurlow Park,21.06150575,8.8,36.3,30.3,8.7
Greenwich - Blackheath Westcombe,16.27961165,15,16.9,23,5.2
Camden - King's Cross,14.50645951,7.2,49.2,50.9,22.4
Richmond upon Thames - Heathfield,20.16871909,14.8,30.4,26.6,8.7
Kingston upon Thames - Canbury,21.70047684,7.9,21.4,27.5,9.5
Hillingdon - Charville,22.80145777,12.5,43.9,30.1,9.7
Ealing - Ealing Common,15.22219844,11.3,31.5,43.1,15.4
Hammersmith & Fulham - Town,16.65029908,7.2,22.7,40.5,11.9
Harrow - Pinner South,21.16031121,17.1,40.6,29.4,6.8
Ealing - Greenford Green,20.96313332,11.9,49,50.1,21.9
Haringey - Saint Ann's,18.24702828,8.5,45.7,54.7,25.9
Sutton - Wallington North,19.91549296,12.5,19.6,16.6,4.4
Newham - Manor Park,23.5082909,7.1,81.5,56.2,27.6
Redbridge - Snaresbrook,15.41508639,17.6,30.2,27.2,6.5
Ealing - Walpole,17.95948987,10.5,27.1,38,14.1
Haringey - Bounds Green,18.67395264,9.2,39.8,48.5,21.5
Hillingdon - Cavendish,20.62103277,15.7,19.7,16.7,3.7
Camden - Camden Town with Primrose Hill,15.37302783,11.3,26.4,38.8,12.1
Bexley - Saint Michael's,22.14638527,13.7,17.3,11.6,2.4
Tower Hamlets - Shadwell,22.38914626,6.3,64.4,45.1,23.2
Croydon - Norbury,21.01845108,13.4,62.3,43.6,13
Waltham Forest - Higham Hill,24.48082462,7.6,51.9,40.3,15.7
Brent - Tokyngton,18.41774247,11.3,76.3,62.9,26.6
Haringey - Crouch End,15.86123437,8.9,18,29.2,7.6
Hackney - New River,28.88216078,7.7,39.3,40.2,19.4
Barking & Dagenham - Eastbrook,21.24500286,14.7,24.8,19,4.5
Tower Hamlets - Blackwall & Cubitt Town,17.80484045,4.7,50.4,48.6,21.9
Bromley - Shortlands,18.52605863,19.7,15.6,16,3.6
Westminster - Tachbrook,10.75018387,15.4,21.8,41.1,15.1
Barnet - East Finchley,18.86922259,13,28.2,34.4,10.4
Camden - Saint Pancras & Somers Town,19.95947315,9.4,49,42.4,17.9
Merton - Colliers Wood,14.1896938,8.1,40.1,47.2,16.3
Havering - Emerson Park,16.30625365,21.3,17.7,11.4,1.7
Havering - Romford Town,17.67476917,14,16.4,16.6,5.6
Harrow - Kenton West,17.9092455,14.3,72.6,51.3,20.4
Kensington & Chelsea - Abingdon,15.46988914,11.7,32.6,59.6,26.1
Kingston upon Thames - Berrylands,16.92275087,14.9,18.1,24.1,6.9
Camden - West Hampstead,12.54560531,8.4,30.5,43.3,13.9
Barking & Dagenham - Abbey,24.44079462,5,71.9,57.3,25.7
Hounslow - Hounslow West,17.44351398,11.2,75.9,62.6,29.4
Lewisham - Ladywell,18.32586979,8.9,45.4,35.4,9.4
Westminster - Saint James's,8.782785371,11,28.8,49,20
Greenwich - Eltham North,18.6117102,16.6,11.3,13.9,3.4
Hounslow - Hounslow Heath,23.11400828,7.8,72.6,58,27.7
Hounslow - Feltham North,19.96886621,13.6,38.9,35.7,14.1
Redbridge - Bridge,20.02916452,13.4,28.1,21.6,6.7
Barking & Dagenham - Becontree,25.43958424,9.5,41.2,30.1,10.5
Haringey - Noel Park,19.09749623,8.5,45.2,51.7,25.4
Kingston upon Thames - Coombe Vale,21.24102564,13.3,33.4,33.5,11.1
Bromley - Chislehurst,17.98260401,21.5,12,12.7,1.9
Haringey - Harringay,14.76793249,7.5,34.5,49.2,24.3
Lambeth - Coldharbour,21.5622021,6.1,62.1,43.7,13.3
Newham - Plaistow North,23.60051713,7.1,73.4,52.1,23.6
Greenwich - Abbey Wood,26.85303107,9.6,46.3,32,7.6
Southwark - South Camberwell,19.68485232,7.1,44.1,35.8,7.7
