Wardname,Children,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking
Kingston upon Thames - Chessington North & Hook,20.61549022,14.5,15,17.2,5
Havering - Hylands,17.63434219,16.2,9.7,7.9,1.7
Westminster - Queen's Park,21.7702778,9.5,52.6,43.3,15.2
Kingston upon Thames - Chessington South,20.68021892,13.5,13,14.3,3.9
Wandsworth - Shaftesbury,12.71892655,7.7,18.8,29,5.7
Hillingdon - Eastcote & East Ruislip,17.78125515,20,20.2,17.5,3.7
Hammersmith & Fulham - Palace Riverside,18.33489242,14.7,15,34.1,8.2
Redbridge - Fullwell,21.54918668,15.6,48.5,29.6,8
Westminster - Churchill,20.12892493,12.8,39.4,44.4,17.4
Westminster - Warwick,10.7161917,11.3,24,43.9,15.9
Merton - Raynes Park,19.17231464,13.7,19.8,33.4,8.7
Kensington & Chelsea - Redcliffe,15.11087074,10.2,18.8,53.4,21.6
Lambeth - Ferndale,12.55987227,6.2,40.4,41.7,11.8
Croydon - Ashburton,21.77841179,13.2,36.7,22.3,4.8
Tower Hamlets - Limehouse,22.27574127,6.2,56.8,43.8,19.7
Camden - Cantelowes,16.18448637,9.1,31.9,35.9,12.6
Ealing - Lady Margaret,20.19860402,11,83.5,55.9,25.2
Hackney - Hoxton,15.86265981,6.2,46.5,44.8,16.6
Hackney - Victoria,20.64091905,7.4,44.2,34,10.4
Hillingdon - Ickenham,18.63868297,19.9,21.8,15.9,2.8
Waltham Forest - Hatch Lane,20.29300054,16.1,22.2,16.5,4.4
Newham - Plaistow South,25.10972933,6.6,67.3,51.7,21.9
Westminster - West End,7.914893617,10.9,32.4,56.8,24.2
Sutton - Wallington South,18.20588235,17.3,21.3,18.5,4.3
Merton - Village,19.1025792,19.3,17.1,34,8.3
Hounslow - Feltham West,24.99195676,6.3,35.5,32.3,14.2
Kensington & Chelsea - Golborne,18.6639812,10.2,52.1,46.1,16.9
Hackney - King's Park,25.5541539,9.2,62,43.3,13.4
Harrow - Queensbury,21.19492657,11.6,75,57.5,26.2
Islington - Finsbury Park,18.41482101,8.5,42.9,41.6,17.5
Barking & Dagenham - Alibon,26.40346654,10.4,29.9,24.7,7.9
Redbridge - Hainault,23.04485447,14.1,29.8,22.2,7.4
